time,real_x,real_y,pred_x,pred_y,pred_v_x,pred_v_y,pred_a_x,pred_a_y,pred_theta,pred_theta_w,pred_theta_a
20551.150,0.313,0.519,0.313,0.523,-0.206,-0.083,-0.019,-0.130,-1.687,-0.132,0.018
20551.230,0.315,0.525,0.316,0.530,-0.207,-0.088,-0.019,-0.127,-1.713,-0.140,0.016
20551.350,0.317,0.531,0.318,0.536,-0.210,-0.077,-0.020,-0.126,-1.704,-0.123,0.020
20551.470,0.320,0.541,0.321,0.546,-0.213,-0.092,-0.020,-0.126,-1.719,-0.121,0.020
20551.640,0.323,0.548,0.326,0.560,-0.217,-0.105,-0.020,-0.126,-1.724,-0.109,0.022
20551.700,0.326,0.555,0.328,0.567,-0.218,-0.115,-0.020,-0.125,-1.744,-0.116,0.020
20551.780,0.328,0.561,0.331,0.577,-0.220,-0.125,-0.020,-0.125,-1.754,-0.114,0.020
20551.860,0.330,0.566,0.330,0.573,-0.223,-0.073,-0.020,-0.121,-1.705,-0.079,0.028
20551.950,0.332,0.571,0.334,0.576,-0.224,-0.060,-0.020,-0.114,-1.724,-0.084,0.026
20552.040,0.335,0.576,0.337,0.582,-0.226,-0.070,-0.020,-0.114,-1.731,-0.082,0.026
20552.160,0.337,0.580,0.338,0.588,-0.230,-0.081,-0.020,-0.118,-1.704,-0.058,0.031
20552.220,0.340,0.586,0.341,0.589,-0.231,-0.063,-0.020,-0.112,-1.715,-0.061,0.030
20552.360,0.344,0.592,0.345,0.599,-0.234,-0.083,-0.020,-0.113,-1.718,-0.054,0.031
20552.440,0.346,0.596,0.347,0.602,-0.236,-0.072,-0.020,-0.110,-1.716,-0.048,0.032
20552.530,0.350,0.602,0.352,0.610,-0.237,-0.081,-0.020,-0.107,-1.744,-0.059,0.028
20552.700,0.356,0.611,0.357,0.615,-0.242,-0.065,-0.020,-0.102,-1.733,-0.043,0.031
20552.950,0.365,0.622,0.364,0.621,-0.247,-0.039,-0.020,-0.091,-1.716,-0.022,0.034
20553.010,0.367,0.625,0.367,0.632,-0.248,-0.082,-0.020,-0.099,-1.728,-0.026,0.033
20553.060,0.369,0.627,0.370,0.634,-0.249,-0.074,-0.020,-0.094,-1.737,-0.028,0.031
20553.120,0.371,0.629,0.372,0.634,-0.250,-0.061,-0.020,-0.090,-1.737,-0.026,0.032
20553.200,0.374,0.633,0.375,0.641,-0.252,-0.077,-0.020,-0.093,-1.733,-0.020,0.032
20553.290,0.376,0.635,0.378,0.646,-0.255,-0.080,-0.020,-0.093,-1.726,-0.012,0.034
20553.380,0.381,0.640,0.381,0.646,-0.257,-0.060,-0.020,-0.087,-1.720,-0.006,0.034
20553.560,0.388,0.647,0.388,0.655,-0.261,-0.065,-0.020,-0.084,-1.727,-0.004,0.033
20553.590,0.389,0.648,0.390,0.657,-0.261,-0.068,-0.020,-0.084,-1.727,-0.003,0.033
20553.710,0.393,0.651,0.396,0.657,-0.263,-0.055,-0.020,-0.077,-1.745,-0.009,0.031
20553.850,0.397,0.655,0.401,0.665,-0.267,-0.063,-0.020,-0.080,-1.720,0.010,0.035
20553.910,0.401,0.658,0.403,0.666,-0.269,-0.056,-0.020,-0.076,-1.722,0.010,0.034
20554.080,0.408,0.663,0.410,0.664,-0.272,-0.031,-0.020,-0.067,-1.718,0.017,0.034
20554.190,0.412,0.665,0.417,0.674,-0.274,-0.056,-0.020,-0.068,-1.737,0.009,0.031
20554.280,0.418,0.669,0.420,0.679,-0.276,-0.061,-0.020,-0.069,-1.728,0.016,0.032
20554.330,0.420,0.670,0.422,0.682,-0.277,-0.065,-0.020,-0.069,-1.726,0.018,0.032
20554.390,0.423,0.672,0.425,0.686,-0.278,-0.069,-0.020,-0.069,-1.725,0.020,0.032
20554.490,0.427,0.674,0.428,0.693,-0.280,-0.075,-0.020,-0.069,-1.723,0.023,0.032
20554.540,0.429,0.675,0.429,0.682,-0.282,-0.040,-0.020,-0.062,-1.708,0.031,0.034
20554.630,0.433,0.677,0.433,0.685,-0.284,-0.045,-0.020,-0.062,-1.705,0.034,0.034
20554.680,0.435,0.678,0.437,0.690,-0.285,-0.053,-0.020,-0.060,-1.721,0.026,0.032
20554.790,0.440,0.680,0.441,0.687,-0.288,-0.033,-0.020,-0.055,-1.709,0.034,0.033
20554.850,0.443,0.681,0.444,0.685,-0.288,-0.022,-0.020,-0.050,-1.717,0.031,0.031
20554.930,0.446,0.682,0.448,0.693,-0.290,-0.046,-0.020,-0.054,-1.720,0.030,0.030
20554.990,0.449,0.683,0.450,0.696,-0.291,-0.050,-0.020,-0.054,-1.718,0.032,0.030
20555.160,0.457,0.686,0.458,0.693,-0.296,-0.028,-0.020,-0.047,-1.710,0.038,0.031
20555.330,0.465,0.688,0.466,0.693,-0.299,-0.020,-0.020,-0.042,-1.715,0.036,0.029
20555.420,0.468,0.689,0.470,0.690,-0.301,-0.011,-0.020,-0.038,-1.717,0.036,0.028
20555.540,0.472,0.690,0.475,0.701,-0.304,-0.040,-0.020,-0.045,-1.707,0.042,0.029
20555.660,0.478,0.690,0.482,0.702,-0.306,-0.033,-0.020,-0.038,-1.722,0.034,0.026
20555.720,0.482,0.691,0.485,0.704,-0.307,-0.035,-0.020,-0.038,-1.720,0.036,0.026
20555.750,0.483,0.691,0.484,0.692,-0.308,0.000,-0.020,-0.032,-1.701,0.046,0.028
20555.830,0.486,0.691,0.461,0.675,-0.317,0.032,-0.021,-0.059,-1.470,0.171,0.059
20555.910,0.490,0.692,0.459,0.673,-0.319,0.027,-0.021,-0.059,-1.455,0.176,0.059
20555.970,0.494,0.692,0.473,0.683,-0.307,0.001,-0.020,-0.047,-1.572,0.114,0.043
20556.060,0.498,0.692,0.473,0.683,-0.309,-0.003,-0.020,-0.047,-1.562,0.118,0.043
20556.150,0.502,0.692,0.491,0.693,-0.303,-0.017,-0.019,-0.033,-1.669,0.062,0.029
20556.200,0.504,0.692,0.498,0.696,-0.303,-0.020,-0.019,-0.029,-1.703,0.044,0.025
20556.290,0.508,0.692,0.506,0.688,-0.305,0.007,-0.019,-0.018,-1.727,0.032,0.021
20556.340,0.511,0.692,0.508,0.688,-0.306,0.006,-0.019,-0.018,-1.725,0.033,0.021
20556.400,0.513,0.692,0.511,0.691,-0.307,-0.004,-0.019,-0.019,-1.725,0.033,0.021
20556.520,0.519,0.691,0.515,0.696,-0.309,-0.020,-0.019,-0.024,-1.708,0.042,0.022
20556.720,0.528,0.690,0.527,0.693,-0.313,-0.003,-0.019,-0.016,-1.722,0.035,0.020
20556.830,0.533,0.689,0.530,0.692,-0.316,-0.002,-0.019,-0.017,-1.705,0.044,0.021
20556.990,0.540,0.687,0.537,0.692,-0.319,-0.005,-0.019,-0.017,-1.697,0.047,0.021
20557.080,0.544,0.686,0.541,0.689,-0.321,0.002,-0.019,-0.015,-1.696,0.047,0.021
20557.160,0.548,0.685,0.544,0.690,-0.323,-0.002,-0.019,-0.016,-1.688,0.051,0.021
20557.240,0.551,0.683,0.549,0.687,-0.324,0.006,-0.019,-0.011,-1.700,0.044,0.019
20557.410,0.558,0.681,0.556,0.688,-0.328,0.001,-0.019,-0.013,-1.688,0.049,0.020
20557.520,0.564,0.678,0.560,0.687,-0.330,-0.000,-0.019,-0.013,-1.683,0.051,0.020
20557.570,0.566,0.677,0.562,0.686,-0.332,0.002,-0.019,-0.012,-1.676,0.054,0.020
20557.660,0.570,0.676,0.564,0.681,-0.334,0.013,-0.019,-0.010,-1.668,0.058,0.020
20557.740,0.572,0.674,0.570,0.679,-0.335,0.018,-0.019,-0.005,-1.687,0.047,0.018
20557.850,0.577,0.672,0.576,0.674,-0.337,0.024,-0.019,-0.003,-1.686,0.046,0.017
20558.020,0.585,0.667,0.582,0.674,-0.340,0.016,-0.019,-0.004,-1.680,0.048,0.017
20558.100,0.589,0.665,0.588,0.665,-0.342,0.035,-0.019,0.002,-1.691,0.042,0.015
20558.150,0.591,0.663,0.590,0.664,-0.343,0.035,-0.019,0.002,-1.688,0.043,0.015
20558.320,0.598,0.658,0.595,0.662,-0.346,0.025,-0.019,-0.001,-1.674,0.049,0.016
20558.400,0.602,0.655,0.598,0.663,-0.348,0.019,-0.019,-0.003,-1.668,0.051,0.016
20558.460,0.604,0.654,0.602,0.657,-0.349,0.032,-0.019,0.002,-1.675,0.047,0.015
20558.580,0.608,0.651,0.607,0.653,-0.352,0.033,-0.019,0.002,-1.673,0.047,0.014
20558.640,0.609,0.650,0.610,0.652,-0.353,0.030,-0.019,0.002,-1.674,0.045,0.014
20558.740,0.615,0.644,0.613,0.650,-0.355,0.030,-0.019,0.002,-1.670,0.046,0.014
20558.790,0.617,0.642,0.615,0.646,-0.356,0.035,-0.019,0.004,-1.670,0.046,0.013
20558.940,0.621,0.638,0.621,0.641,-0.359,0.036,-0.019,0.004,-1.662,0.048,0.013
20559.060,0.628,0.631,0.624,0.635,-0.362,0.038,-0.019,0.004,-1.655,0.050,0.014
20559.180,0.632,0.626,0.629,0.633,-0.364,0.035,-0.019,0.004,-1.655,0.049,0.013
20559.260,0.633,0.625,0.630,0.632,-0.366,0.028,-0.020,0.001,-1.642,0.054,0.014
20559.340,0.638,0.619,0.632,0.630,-0.368,0.028,-0.020,0.001,-1.638,0.055,0.014
20559.500,0.644,0.612,0.641,0.614,-0.370,0.053,-0.019,0.010,-1.653,0.045,0.011
20559.590,0.646,0.609,0.644,0.608,-0.372,0.057,-0.019,0.011,-1.654,0.044,0.010
20559.650,0.648,0.606,0.645,0.609,-0.373,0.048,-0.019,0.009,-1.648,0.046,0.011
20559.780,0.651,0.600,0.651,0.600,-0.376,0.055,-0.019,0.011,-1.651,0.043,0.010
20560.000,0.659,0.588,0.656,0.587,-0.381,0.060,-0.020,0.011,-1.632,0.049,0.011
20560.140,0.664,0.578,0.662,0.577,-0.383,0.064,-0.019,0.013,-1.641,0.043,0.009
20560.230,0.667,0.573,0.665,0.571,-0.385,0.066,-0.019,0.013,-1.637,0.044,0.009
20560.340,0.670,0.566,0.667,0.570,-0.387,0.055,-0.019,0.010,-1.631,0.045,0.009
20560.400,0.671,0.563,0.667,0.566,-0.388,0.058,-0.019,0.010,-1.621,0.050,0.010
20560.480,0.674,0.558,0.668,0.563,-0.390,0.055,-0.020,0.009,-1.616,0.051,0.010
20560.540,0.675,0.554,0.669,0.560,-0.391,0.055,-0.020,0.009,-1.613,0.051,0.010
20560.630,0.677,0.549,0.673,0.553,-0.393,0.060,-0.019,0.011,-1.619,0.047,0.009
20560.690,0.679,0.545,0.674,0.552,-0.394,0.057,-0.019,0.010,-1.615,0.048,0.009
20560.750,0.680,0.541,0.677,0.545,-0.395,0.065,-0.019,0.013,-1.623,0.043,0.008
20560.830,0.682,0.535,0.679,0.540,-0.397,0.064,-0.019,0.013,-1.619,0.044,0.008
20560.950,0.684,0.528,0.683,0.532,-0.399,0.068,-0.019,0.015,-1.624,0.040,0.007
20561.090,0.687,0.518,0.683,0.521,-0.402,0.073,-0.020,0.014,-1.608,0.046,0.008
20561.140,0.688,0.514,0.685,0.519,-0.403,0.069,-0.019,0.014,-1.611,0.043,0.007
20561.230,0.689,0.508,0.685,0.511,-0.405,0.074,-0.020,0.014,-1.600,0.048,0.008
20561.370,0.691,0.498,0.687,0.501,-0.408,0.075,-0.020,0.014,-1.595,0.047,0.008
20561.460,0.692,0.492,0.690,0.497,-0.409,0.072,-0.019,0.014,-1.600,0.043,0.007
20561.600,0.694,0.481,0.692,0.486,-0.412,0.074,-0.019,0.014,-1.594,0.044,0.007
20561.710,0.695,0.473,0.693,0.477,-0.414,0.078,-0.019,0.015,-1.590,0.045,0.007
20561.820,0.696,0.467,0.693,0.465,-0.417,0.085,-0.020,0.015,-1.582,0.047,0.007
20561.840,0.696,0.465,0.693,0.463,-0.417,0.085,-0.020,0.015,-1.580,0.047,0.007
20561.980,0.697,0.454,0.694,0.454,-0.420,0.081,-0.019,0.014,-1.576,0.047,0.007
20562.010,0.697,0.450,0.694,0.453,-0.420,0.079,-0.019,0.014,-1.575,0.047,0.007
20562.180,0.697,0.441,0.695,0.440,-0.423,0.081,-0.019,0.014,-1.569,0.047,0.006
20562.360,0.697,0.422,0.696,0.422,-0.427,0.088,-0.019,0.016,-1.567,0.045,0.006
20562.480,0.697,0.415,0.695,0.410,-0.429,0.093,-0.019,0.016,-1.559,0.047,0.006
20562.540,0.696,0.408,0.694,0.407,-0.430,0.089,-0.019,0.014,-1.552,0.049,0.006
20562.660,0.695,0.398,0.692,0.404,-0.432,0.075,-0.019,0.010,-1.541,0.052,0.007
20562.810,0.694,0.386,0.690,0.393,-0.435,0.078,-0.019,0.010,-1.534,0.053,0.007
20563.010,0.691,0.372,0.689,0.369,-0.438,0.092,-0.019,0.014,-1.530,0.051,0.006
20563.140,0.689,0.361,0.685,0.358,-0.441,0.091,-0.019,0.013,-1.516,0.055,0.007
20563.230,0.686,0.352,0.684,0.352,-0.442,0.090,-0.019,0.013,-1.515,0.054,0.006
20563.310,0.684,0.345,0.682,0.344,-0.444,0.091,-0.019,0.013,-1.512,0.054,0.006
20563.450,0.681,0.334,0.678,0.333,-0.446,0.091,-0.019,0.012,-1.502,0.056,0.006
20563.570,0.679,0.329,0.676,0.324,-0.448,0.089,-0.019,0.012,-1.503,0.053,0.006
20563.680,0.675,0.317,0.672,0.316,-0.449,0.086,-0.019,0.011,-1.497,0.053,0.006
20563.710,0.674,0.315,0.671,0.313,-0.450,0.088,-0.019,0.011,-1.495,0.054,0.006
20563.740,0.673,0.313,0.670,0.310,-0.450,0.089,-0.019,0.011,-1.493,0.054,0.006
20563.770,0.672,0.311,0.669,0.308,-0.450,0.087,-0.019,0.011,-1.489,0.055,0.006
20563.800,0.671,0.308,0.667,0.307,-0.451,0.085,-0.019,0.010,-1.485,0.057,0.006
20563.830,0.670,0.306,0.666,0.305,-0.451,0.084,-0.019,0.010,-1.485,0.056,0.006
20563.860,0.669,0.304,0.665,0.303,-0.451,0.083,-0.019,0.009,-1.481,0.058,0.006
20563.890,0.668,0.301,0.664,0.299,-0.451,0.086,-0.019,0.010,-1.482,0.056,0.006
20563.920,0.667,0.299,0.663,0.297,-0.452,0.086,-0.019,0.010,-1.481,0.056,0.006
20563.960,0.666,0.297,0.662,0.295,-0.452,0.084,-0.019,0.010,-1.482,0.055,0.006
